"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"117",188,3,4,0,1,7,1,2,1,1,62,0,0.445675253868103,1,-1.31298589706421,0,5
"118",288,1,4,0,1,7,1,2,2,1,76,0,1.02379238605499,1,-1.31298589706421,0,5
"119",306,10,3,0,0,7,2,2,6,5,71,1,0.638380944728851,1,-1.31298589706421,0,3
"120",310,10,3,2,8,7,1,2,6,6,91,0,-0.132441878318787,0,-1.31298589706421,0,13
"121",334,5,2,0,0,7,0,2,6,7,87,0,-0.325147598981857,0,-1.31298589706421,0,2
"122",335,7,5,0,0,5,2,2,7,7,71.3333358764648,1,1.02379238605499,1,-1.31298589706421,0,5
"123",387,5,4,0,2,4,2,3,5,5,74,1,0.831086695194244,1,-1.31298589706421,0,6
"124",395,15,2,0,0,6,1,2,6,7,74,1,-0.325147598981857,0,-1.31298589706421,0,2
"125",433,15,4,0,2,4,3,1,6,6,81.6666641235352,1,1.40920376777649,1,-1.31298589706421,0,6
"126",436,15,2,8,0,7,2,3,6,6,83,1,-1.67408752441406,0,-1.31298589706421,0,10
"127",447,6,1,0,0,7,1,1,7,7,82.6666641235352,1,0.831086695194244,1,-1.31298589706421,0,1
"128",475,23,6,1,0,7,0,1,7,6,77.6666641235352,1,1.02379238605499,1,-1.31298589706421,0,7
"129",540,4,4,0,0,4,2,3,7,6,85.25,1,-0.710559010505676,0,-1.31298589706421,0,4
"130",608,5,3,5,8,6,1,0,0,6,82,0,-3.02302742004395,0,-1.31298589706421,0,16
"131",634,12,5,8,2,6,0,1,7,7,91,1,1.21649813652039,1,-1.31298589706421,0,15
"132",646,8,2,5,0,6,2,3,0,0,84.6666641235352,1,0.445675253868103,1,-1.31298589706421,0,7
"133",663,25,1,1,0,5,0,1,6,4,81,0,-1.67408752441406,0,-1.31298589706421,0,2
"134",682,5,4,1,1,7,1,3,3,2,46,0,0.445675253868103,1,-1.31298589706421,0,6
"135",715,3,2,0,0,6,3,2,7,6,68,0,-0.710559010505676,0,-1.31298589706421,0,2
"136",716,5,5,0,0,7,2,2,2,2,72.6666641235352,0,0.638380944728851,1,-1.31298589706421,0,5
"137",752,7,4,1,2,5,1,3,6,3,55,1,1.02379238605499,1,-1.31298589706421,0,7
"138",780,7,5,0,0,7,2,2,7,7,74.5,1,1.40920376777649,1,-1.31298589706421,0,5
"139",795,7,5,2,0,5,1,2,8,7,86.5,1,-0.132441878318787,0,-1.31298589706421,0,7
"140",849,10,4,5,2,5,1,1,2,2,80.25,0,0.831086695194244,1,-1.31298589706421,0,11
"141",902,6,5,2,1,7,1,2,6,7,90,1,-0.903264701366425,0,-1.31298589706421,0,8
"142",925,10,4,0,8,6,2,2,2,2,74,1,-0.132441878318787,0,-1.31298589706421,0,12
"143",1010,5,4,0,2,6,1,2,4,6,72,0,-0.132441878318787,0,-1.31298589706421,0,6
"144",1040,7,6,1,0,5,0,1,2,1,87,0,1.21649813652039,1,-1.31298589706421,0,7
"145",13,50,4,2,0,5,2,2,6,5,79.3333358764648,0,1.21649813652039,1,-1.15319907665253,0,6
"146",118,2,3,0,0,7,2,3,1,1,58.25,1,-0.517853319644928,0,-1.15319907665253,0,3
"147",134,19,5,0,0,6,2,3,6,2,69,0,0.252969533205032,1,-1.15319907665253,0,5
"148",149,21,3,8,8,7,1,3,1,5,71,1,-0.132441878318787,0,-1.15319907665253,0,19
"149",202,7,3,2,0,7,1,2,2,3,46,1,0.445675253868103,1,-1.15319907665253,0,5
"150",209,8,2,1,8,7,2,1,7,6,60,0,0.0602638274431229,1,-1.15319907665253,0,11
"151",224,7,2,0,0,7,0,2,3,6,69,1,0.831086695194244,1,-1.15319907665253,0,2
"152",229,10,4,2,8,6,1,1,6,6,75.5,0,0.445675253868103,1,-1.15319907665253,0,14
"153",251,24,4,1,0,5,1,2,6,6,82.5,1,1.02379238605499,1,-1.15319907665253,0,5
"154",253,1,1,0,0,5,0,0,5,5,85,1,-1.67408752441406,0,-1.15319907665253,0,1
"155",258,3,2,2,0,7,2,2,6,7,63.75,1,0.831086695194244,1,-1.15319907665253,0,4
"156",271,14,2,0,0,7,2,2,5,1,75,1,1.79461526870728,1,-1.15319907665253,0,2
"157",274,2,4,0,0,4,1,1,6,6,43,1,0.831086695194244,1,-1.15319907665253,0,4
"158",285,2,4,0,0,5,1,1,2,2,85,1,-1.09597039222717,0,-1.15319907665253,0,4
"159",319,3,2,0,0,7,2,1,7,8,84.3333358764648,1,0.445675253868103,1,-1.15319907665253,0,2
"160",339,14,5,0,0,5,3,2,6,1,59,0,1.79461526870728,1,-1.15319907665253,0,5
"161",345,30,3,2,2,4,1,2,7,6,58.3333320617676,1,0.831086695194244,1,-1.15319907665253,0,7
"162",372,8,3,2,0,6,1,1,7,7,73.5,1,-0.325147598981857,0,-1.15319907665253,0,5
"163",376,4,4,0,1,6,2,3,1,1,59,1,-0.132441878318787,0,-1.15319907665253,0,5
"164",417,20,6,2,5,7,1,2,6,6,73,1,1.79461526870728,1,-1.15319907665253,0,13
"165",483,8,4,2,2,4,1,2,8,7,69.3333358764648,1,-2.25220465660095,0,-1.15319907665253,0,8
"166",496,14,2,1,2,7,2,2,8,8,81,1,-0.325147598981857,0,-1.15319907665253,0,5
"167",587,10,3,2,1,6,1,2,5,5,69,1,-0.132441878318787,0,-1.15319907665253,0,6
"168",599,14,5,0,1,5,2,2,0,0,65.5,1,0.252969533205032,1,-1.15319907665253,0,6
"169",644,2,4,1,0,7,2,3,0,0,77.8000030517578,1,0.638380944728851,1,-1.15319907665253,0,5
"170",659,9,3,1,0,4,1,1,0,6,76,1,1.40920376777649,1,-1.15319907665253,0,4
"171",677,42,1,1,1,7,0,2,6,8,82,1,-1.28867614269257,0,-1.15319907665253,0,3
"172",690,4,3,0,0,6,1,2,0,0,69,0,0.445675253868103,1,-1.15319907665253,0,3
"173",725,4,2,2,0,7,2,1,5,6,75.6666641235352,1,-0.325147598981857,0,-1.15319907665253,0,4
"174",754,8,2,0,0,4,2,2,2,2,85,1,0.831086695194244,1,-1.15319907665253,0,2
"175",784,10,3,0,8,6,0,1,6,6,75.6666641235352,0,0.0602638274431229,1,-1.15319907665253,0,11
"176",802,8,5,1,2,7,1,3,6,6,73.3333358764648,1,1.21649813652039,1,-1.15319907665253,0,8
"177",803,8,6,5,0,7,3,2,4,1,78,0,1.21649813652039,1,-1.15319907665253,0,11
"178",809,28,3,2,2,7,0,2,7,7,84,1,-1.09597039222717,0,-1.15319907665253,0,7
"179",960,8,3,0,5,6,1,1,7,6,65.5,1,-0.710559010505676,0,-1.15319907665253,0,8
"180",1039,4,2,1,2,6,1,1,6,6,80,0,1.02379238605499,1,-1.15319907665253,0,5
"181",50,18,4,2,0,7,1,2,6,2,76.6666641235352,1,0.638380944728851,1,-0.993412256240845,0,6
"182",184,6,2,2,0,7,2,2,6,6,53,0,0.445675253868103,1,-0.993412256240845,0,4
"183",218,3,4,2,8,7,1,2,8,0,65,0,-1.67408752441406,0,-0.993412256240845,0,14
"184",239,30,4,0,1,7,2,2,6,6,78,0,0.638380944728851,1,-0.993412256240845,0,5
"185",275,3,1,0,0,5,2,1,6,8,64,1,1.21649813652039,1,-0.993412256240845,0,1
"186",287,10,4,1,1,6,2,3,2,2,76,0,0.638380944728851,1,-0.993412256240845,0,6
"187",292,6,3,0,0,6,1,1,7,3,84,1,1.02379238605499,1,-0.993412256240845,0,3
"188",347,18,4,0,2,7,2,2,2,6,66,1,-0.132441878318787,0,-0.993412256240845,0,6
"189",419,3,3,0,2,7,1,2,5,5,85,1,0.0602638274431229,1,-0.993412256240845,0,5
"190",425,21,6,2,5,7,2,3,0,0,86,1,0.0602638274431229,1,-0.993412256240845,0,13
"191",462,20,5,0,0,6,2,2,5,6,50.5,1,1.21649813652039,1,-0.993412256240845,0,5
"192",506,10,6,0,0,7,3,3,6,6,79,1,0.831086695194244,1,-0.993412256240845,0,6
"193",524,8,4,0,0,5,3,1,7,0,62,0,1.02379238605499,1,-0.993412256240845,0,4
"194",525,24,4,2,2,6,1,1,5,2,83.3333358764648,0,0.831086695194244,1,-0.993412256240845,0,8
"195",543,4,6,0,8,3,1,2,6,6,57.3333320617676,0,-0.710559010505676,0,-0.993412256240845,0,14
"196",563,16,3,2,0,5,1,1,6,6,82,0,0.252969533205032,1,-0.993412256240845,0,5
"197",565,3,3,2,2,7,1,2,6,5,54,0,0.0602638274431229,1,-0.993412256240845,0,7
"198",577,15,4,0,0,7,1,2,8,8,80,1,-0.517853319644928,0,-0.993412256240845,0,4
"199",616,15,2,0,5,5,2,2,6,2,76,1,-0.517853319644928,0,-0.993412256240845,0,7
"200",632,4,4,1,2,6,1,3,0,0,72.6666641235352,1,1.21649813652039,1,-0.993412256240845,0,7
"201",636,6,3,0,2,4,3,3,6,6,80.5,1,1.02379238605499,1,-0.993412256240845,0,5
"202",662,1,5,0,1,5,2,2,7,5,80.6666641235352,1,0.252969533205032,1,-0.993412256240845,0,6
"203",736,20,4,0,2,7,1,2,5,5,73.5,1,0.0602638274431229,1,-0.993412256240845,0,6
"204",746,8,2,0,0,6,2,3,1,0,76,1,0.0602638274431229,1,-0.993412256240845,0,2
"205",753,7,3,0,0,5,2,2,8,7,85,1,1.02379238605499,1,-0.993412256240845,0,3
"206",767,35,3,0,8,7,2,3,7,6,85,1,0.638380944728851,1,-0.993412256240845,0,11
"207",817,10,3,0,0,7,1,2,5,5,69.5,0,0.831086695194244,1,-0.993412256240845,0,3
"208",834,2,5,0,0,2,0,3,1,1,73,0,1.40920376777649,1,-0.993412256240845,0,5
"209",836,11,3,0,0,7,2,1,2,1,59.5,0,0.638380944728851,1,-0.993412256240845,0,3
"210",839,9,4,5,5,7,2,2,7,5,72,1,0.638380944728851,1,-0.993412256240845,0,14
"211",860,5,2,0,1,6,1,1,0,2,66,1,-1.67408752441406,0,-0.993412256240845,0,3
"212",866,4,4,8,8,7,2,3,1,2,73.5,1,1.40920376777649,1,-0.993412256240845,0,20
"213",867,3,4,1,0,7,2,2,6,1,71.3333358764648,0,1.21649813652039,1,-0.993412256240845,0,5
"214",933,10,4,1,1,4,1,2,2,2,60,0,1.40920376777649,1,-0.993412256240845,0,6
"215",934,8,4,2,8,7,3,3,7,7,55.5,1,0.0602638274431229,1,-0.993412256240845,0,14
"216",951,10,4,0,0,7,3,3,6,6,70,0,0.445675253868103,1,-0.993412256240845,0,4
"217",957,30,2,2,0,5,3,3,6,6,78,1,-0.903264701366425,0,-0.993412256240845,0,4
"218",982,8,5,5,2,7,2,3,6,6,62.5999984741211,0,0.0602638274431229,1,-0.993412256240845,0,12
"219",1023,5,4,2,1,4,2,2,5,2,69,1,1.21649813652039,1,-0.993412256240845,0,7
"220",10,2,4,5,0,4,0,1,7,8,64.1999969482422,0,-0.325147598981857,0,-0.833625435829163,0,9
"221",19,48,2,8,5,7,2,3,0,0,72.75,1,0.831086695194244,1,-0.833625435829163,0,15
"222",46,3,1,0,0,6,3,3,6,1,63.5,1,0.445675253868103,1,-0.833625435829163,0,1
"223",48,30,1,5,5,7,2,3,6,6,62.5,0,0.638380944728851,1,-0.833625435829163,0,11
"224",57,10,4,1,1,6,2,3,6,2,64.5,1,-0.325147598981857,0,-0.833625435829163,0,6
"225",105,16,5,2,8,6,1,1,6,6,68.5999984741211,1,0.0602638274431229,1,-0.833625435829163,0,15
"226",122,3,5,0,0,6,3,3,7,7,60,1,0.638380944728851,1,-0.833625435829163,0,5
"227",131,6,5,5,8,7,1,1,6,2,66,1,0.638380944728851,1,-0.833625435829163,0,18
"228",139,4,1,2,0,7,3,2,7,6,76.6666641235352,0,1.60190951824188,1,-0.833625435829163,0,3
"229",169,2,3,2,2,2,1,2,7,2,77.6666641235352,0,0.252969533205032,1,-0.833625435829163,0,7
"230",174,2,4,2,2,6,1,2,7,6,61,1,0.638380944728851,1,-0.833625435829163,0,8
"231",194,4,4,0,0,6,3,2,6,6,75,1,1.79461526870728,1,-0.833625435829163,0,4
"232",214,10,4,1,0,6,0,3,2,2,71,0,-0.325147598981857,0,-0.833625435829163,0,5
"233",215,50,5,2,0,7,1,3,6,7,93,0,0.445675253868103,1,-0.833625435829163,0,7
"234",268,6,3,0,0,7,2,2,6,0,90,1,0.638380944728851,1,-0.833625435829163,0,3
"235",321,10,2,0,0,5,2,2,2,2,77,1,1.40920376777649,1,-0.833625435829163,0,2
"236",409,6,2,0,0,4,2,2,7,6,74.3333358764648,1,-3.40843892097473,0,-0.833625435829163,0,2
"237",438,17,3,0,0,5,2,2,8,6,73,0,1.79461526870728,1,-0.833625435829163,0,3
"238",446,7,1,1,0,3,0,0,5,6,84,1,-0.710559010505676,0,-0.833625435829163,0,2
"239",478,8,5,0,5,5,2,2,6,6,89.3333358764648,0,1.40920376777649,1,-0.833625435829163,0,10
"240",494,40,4,1,8,6,0,0,3,3,63.7999992370605,1,-0.325147598981857,0,-0.833625435829163,0,13
"241",542,2,2,1,0,7,2,2,6,0,82.75,1,1.21649813652039,1,-0.833625435829163,0,3
"242",551,12,3,0,5,6,1,1,1,1,76,0,-0.325147598981857,0,-0.833625435829163,0,8
"243",591,20,4,0,8,7,2,2,6,6,79.6666641235352,0,1.60190951824188,1,-0.833625435829163,0,12
"244",630,6,5,0,0,5,1,1,6,6,87.5,1,-2.05949902534485,0,-0.833625435829163,0,5
"245",639,18,6,1,2,7,1,3,7,7,63,1,0.445675253868103,1,-0.833625435829163,0,9
"246",643,1,1,0,0,5,1,2,4,5,76.6666641235352,1,-0.903264701366425,0,-0.833625435829163,0,1
"247",684,11,3,0,0,5,1,2,6,6,50,1,-1.28867614269257,0,-0.833625435829163,0,3
"248",744,5,4,0,1,7,1,2,5,1,68.75,0,-0.132441878318787,0,-0.833625435829163,0,5
"249",826,15,4,0,0,7,2,3,1,1,85.3333358764648,1,0.831086695194244,1,-0.833625435829163,0,4
"250",863,4,4,2,2,5,1,2,5,5,77.5,0,-0.903264701366425,0,-0.833625435829163,0,8
"251",873,2,3,0,0,3,2,1,0,0,56,0,0.0602638274431229,1,-0.833625435829163,0,3
"252",890,31,2,0,0,6,2,2,5,5,84.5,0,1.40920376777649,1,-0.833625435829163,0,2
"253",906,1,3,0,1,6,3,3,6,6,81.6666641235352,0,-0.710559010505676,0,-0.833625435829163,0,4
"254",909,20,5,0,0,5,3,3,7,5,57.5,0,1.21649813652039,1,-0.833625435829163,0,5
"255",913,5,5,2,2,7,2,2,6,6,66.5,0,0.0602638274431229,1,-0.833625435829163,0,9
"256",921,10,2,0,0,7,3,3,6,6,56.5,0,1.02379238605499,1,-0.833625435829163,0,2
"257",926,5,4,0,1,5,3,3,5,2,67.6666641235352,0,-0.710559010505676,0,-0.833625435829163,0,5
"258",950,2,1,0,0,5,0,1,8,6,72.5999984741211,0,0.831086695194244,1,-0.833625435829163,0,1
"259",992,42,6,0,0,3,3,3,6,6,75,0,-0.710559010505676,0,-0.833625435829163,0,6
"260",1003,4,2,1,1,4,2,2,6,6,53,1,-1.67408752441406,0,-0.833625435829163,0,4
